;A1;A2;A3;SC1;SC2;SC3;SC4;SC5;SG1;SG2;SG3;SD1;SD2;SD3;SD4;SD5;SD6
CRE 1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CRO1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CRE3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CRO 2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CSU4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CIA2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CMSC;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
